tweet,Processed Text
"Jujur ga kaget denger kabar ardhito, karna emang udah tau dari lamaa, dan kalo dia ngisi podcast aku selalu denger. Dan itu tuu aslii gais, kalo ada netizen yg ss tweet diaa yg ngeluh ada masalah, emang masalahnya itu complicated bgt. Dan dia sempat gapunya siapapun kecuali musik","['jujur', 'enggak', 'kaget', 'dengar', 'kabar', 'ardhito', 'karena', 'memang', 'sudah', 'tahu', 'lamaa', 'kalau', 'mengisi', 'podcast', 'selalu', 'dengar', 'tuh', 'asli', 'gais', 'kalau', 'netizen', 'yang', 'ss', 'tweet', 'dia', 'yang', 'ngeluh', 'masalah', 'memang', 'masalah', 'itu', 'complicated', 'banget', 'sempat', 'enggak punya', 'siapa', 'musik']"
Cewe cewe rahim anget yang semalem belain ardhito abis abisan be like:,"['cewek', 'cewek', 'rahim', 'anget', 'semalem', 'bain', 'ardhito', 'habis', 'habis', 'be', 'like']"
"Jujur ga kaget denger kabar ardhito, karna emang udah tau dari lamaa, dan kalo dia ngisi podcast aku selalu denger. Dan itu tuu asli gais, kalo ada netizen yang ss tweet dia yg ngeluh ada masalah, emang masalahnya itu complicated bgt. Dan dia sempat gapunya siapapun kecuali musik","['jujur', 'enggak', 'kaget', 'dengar', 'kabar', 'ardhito', 'karena', 'memang', 'sudah', 'tahu', 'lamaa', 'kalau', 'mengisi', 'podcast', 'selalu', 'dengar', 'tuh', 'asli', 'gais', 'kalau', 'netizen', 'ss', 'tweet', 'yang', 'ngeluh', 'masalah', 'memang', 'masalah', 'itu', 'complicated', 'banget', 'sempat', 'enggak punya', 'siapa', 'musik']"
"Kaget banget demi Alex tpi bener ternyata di podcast sama Muhammad Arief dia bilang bini ya, ko ga ngeh sih","['kaget', 'banget', 'alex', 'tapi', 'benar', 'nyata', 'podcast', 'sama', 'muhammad', 'arief', 'bilang', 'bini', 'kok', 'enggak', 'sadar', 'sih']"
"Sudah sudah, ardhito Nikahnya diam diam ato ngga tetep aja ga diundang","['sudah', 'ardhito', 'nikah', 'diam', 'diam', 'atau', 'tidak', 'tetap', 'saja', 'enggak', 'undang']"
"""Lagunya bagus loh padal","['lagu', 'bagus', 'loh', 'padal']"
"Lampu gemoy""","['lampu', 'gemoy']"
"""Kaget sumpah..","['kaget', 'sumpah']"
"Btw nitip cemilan aku nih""","['ngomong-ngomong', 'nitip', 'cemilan', 'ini']"
"nitip botol minum lucukknya kakakk, lagi diskon nichh","['nitip', 'botol', 'minum', 'lucukknya', 'kakakk', 'diskon', 'nichh']"
